X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,1030,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,1
Chrome,1050,null,null,1019,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,0
Chrome,900,null,null,1004,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,1
Chrome,600,null,null,964,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,0
Chrome,525,null,null,1046,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,0
Chrome,750,null,null,1013,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,1
Chrome,675,null,null,1004,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,1
Chrome,975,null,null,1034,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,1
Chrome,450,null,null,1035,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,0
Chrome,900,null,null,1030,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,0
Chrome,450,null,null,1043,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,0
Chrome,975,null,null,991,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,1
Chrome,825,null,null,978,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,0
Chrome,1050,null,null,1001,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,1
Chrome,750,null,null,972,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,1
Chrome,600,null,null,964,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,0
Chrome,525,null,null,1019,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,0
Chrome,675,null,null,1046,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,1
Chrome,750,null,null,1018,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,1
Chrome,675,null,null,951,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,0
Chrome,1050,null,null,958,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,1
Chrome,525,null,null,971,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,0
Chrome,975,null,null,1003,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,1
Chrome,450,null,null,951,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,spikey,0
Chrome,900,null,null,959,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,red,1
Chrome,600,null,null,985,83,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,0
Chrome,825,2019-07-09T23:58:04.764Z,"None that I noticed, everything worked well.",961,76,2019-07-09T23:47:11.907Z,AV74R07MDJ2VL,odd,1
